nama;partai;dapil
ANDIKA;partai solidaritas indonesia;Sulawesi Tengah
ANDIKA INDAH PURNAMASARI SE.,M.Sc;partai berkarya;D. I. Yogyakarta
ANDIKA ULIL AMRI S.E., M.M.;persatuan indonesia;Sulawesi Selatan I
ANDINA FATMALA HADIYANTI;partai bulan bintang;Jawa Timur III
ANDINI MAHARANI S.S.T;partai persatuan pembangunan;Jawa Barat VIII
ANDRA BANI SAGALANE SH. MH;partai persatuan pembangunan;Jawa Barat V
ANDRE ANDIKA ADHIGUNA S.Mn., MA.;partai solidaritas indonesia;Jawa Barat XI
ANDRE BINTANG ARIFIANTO;partai persatuan pembangunan;Lampung II
ANDRE CAHYO NUGROHO SE;partai solidaritas indonesia;Jawa Timur I
ANDRE J.O SUMUAL S.Sos;persatuan indonesia;Papua
ANDREAS EKO NOVYANTO SH;partai solidaritas indonesia;D. I. Yogyakarta
ANDREAS VINSENSIUS MARIA INTAMA MM;partai solidaritas indonesia;Sulawesi Utara
ANDREI P B SIMANJUNTAK;partai keadilan sejahtera;Kepulauan RIAU
ANDRI ISMAIL PUTRA NASUTION;partai kebangkitan bangsa;Sumatera Utara II
ANDRI YANI SANUSI;partai berkarya;Sumatera Barat II
ANDRIAN LAMEMUHAR SE;partai berkarya;Jawa Barat VIII
ANDRIANI WIDYA ASTUTY W;partai kebangkitan bangsa;Sulawesi Utara
Ir ANDRIAS HANS S.Th;partai solidaritas indonesia;Sulawesi Tenggara
ANDRIES SIBARANI;partai solidaritas indonesia;Sumatera Utara II
ANDRIYANA S.T.;partai keadilan sejahtera;Dki Jakarta I
ANDRIYANTO JOHAN SYAH S.T., M.M;partai golongan karya;Jawa Tengah X
ANDRO ROHMANA PUTRA;partai solidaritas indonesia;Jawa Timur VIII
ANDY BUDIMAN S.Sos;partai solidaritas indonesia;Jawa Timur I
ANDY ERIC MANUHUTU;partai solidaritas indonesia;Maluku
ANGEL LELGA S.E;persatuan indonesia;Jawa Barat VII
ANGELA HERLIANI TANOESOEDIBJO BA, M.Com;persatuan indonesia;Jawa Timur I
ANGELINA CHRISTI SANGEROKI;partai golongan karya;Dki Jakarta I
ANGGA ARIFIAN A.Md;partai golongan karya;Jawa Tengah VIII
ANGGA FEBI ARAMANIZA;partai persatuan pembangunan;Bengkulu
ANGGA PRASETIA S.E;persatuan indonesia;Dki Jakarta III
ANGGARDA PARAMITA S.Pd;partai keadilan sejahtera;Aceh I
DR ANGGAWIRA MM;partai gerakan indonesia raya;Jawa Barat VIII
ANGGIAT BARIS MANGISI MANALU S.Pd., S.H;partai golongan karya;Sumatera Utara III
ANGGIAT U SIMATUPANG;partai demokrasi indonesia perjuangan;Sumatera Selatan II
ANGGITA WINDIANA SARI;partai solidaritas indonesia;Sulawesi Barat
ANGGRAITA DWI AGUS LESTARI;partai gerakan indonesia raya;Jawa Timur III
ANI WIDYAWATI S.Pd;persatuan indonesia;Jawa Timur IX
ANIS IZZATILLAH S. Pd.I;partai amanat nasional;Jawa Tengah III
Dra ANIS JULAIKAH Apt;partai solidaritas indonesia;Jawa Timur I
ANISA DEVY IKA NATALIA;partai gerakan indonesia raya;Jawa Tengah V
ANISA KARTIKAWATI SH;partai bulan bintang;Jawa Timur VI
ANISA PRASOJO;partai solidaritas indonesia;Sulawesi Utara
ANISAH NURJANAH;partai persatuan pembangunan;Jawa Timur VI
ANISATUL HUSNA;partai demokrasi indonesia perjuangan;Sumatera Barat I
ANISSA GEMALA, SE;partai persatuan pembangunan;Jawa Tengah III
ANISSA HADI ASTUTY;partai amanat nasional;Jawa Tengah I
ANISSA PUTRI S. BARING SE;partai kebangkitan bangsa;Sulawesi Tengah
ANITA BR SEMBIRING SE., MM;partai amanat nasional;Sumatera Utara III
ANITA CITRA KAROLINA SINAGA;partai solidaritas indonesia;Jawa Timur II
ANITA LISTIAWATI SE., MM;partai gerakan indonesia raya;Jawa Tengah IX
ANITA PURNAMA SARI DAYA PUTRI S.Kom.I;partai solidaritas indonesia;Sumatera Selatan II
ANITA SETIYOWATI S.Pd.;partai keadilan sejahtera;Jawa Barat X
ANJAR AULIA;partai amanat nasional;Aceh II
Hj ANN FAUZIA RENNY SE;partai amanat nasional;Kalimantan Selatan II
ANNA KURNIAWATI S.IP., MBA;partai keadilan sejahtera;Papua Barat
ANNA MARLINDA M.B. S.Sos;partai demokrasi indonesia perjuangan;Nusa Tenggara Timur I
ANNA MARTHA KARUBUY S.Sos., M.M.;partai demokrasi indonesia perjuangan;Papua
ANNA PRAGASTI;partai gerakan indonesia raya;Jawa Tengah III
ANNA SAGITA S.H, M.Kn.;partai demokrasi indonesia perjuangan;Sumatera Selatan II
ANNE SULISTIJADEWI S.Kom, MM;partai solidaritas indonesia;Jawa Barat III
Dra. Hj ANNEKE AGUSTINA;partai amanat nasional;Sulawesi Tengah
ANNEKE SJUULTJE LESAR S.Psi.,MM.,AJP;persatuan indonesia;Jawa Barat I
ANNI S BAHAR SE;partai nasdem;Jawa Tengah IX
Dra ANNISA ASMAHAN BARAQBAH;partai berkarya;Kalimantan Timur
ANNISA DAMAYANTI;partai solidaritas indonesia;Lampung II
ANNISA HIDAYATI S.H., M.H.;partai kebangkitan bangsa;Kalimantan Selatan II
ANNISA MEYLIANA DEWI;partai solidaritas indonesia;Sulawesi Selatan II
ANNISA WIDIPANGESTI ADJIE;partai solidaritas indonesia;Jawa Barat IX
ANNISA ZAKIAH PASARIBU S.Sos;partai amanat nasional;Sumatera Utara II
ANNISYA NOVIYANTI;partai solidaritas indonesia;Nusa Tenggara Barat II
ANNYSA SOVIA NURANI;partai gerakan indonesia raya;Jawa Barat II
ANSAR UMASANGADJI;partai amanat nasional;Maluku Utara
Drs ANTON SETIADJI S.H., M.H;partai berkarya;Jawa Timur IV
Drs ANTONI AMIR SH;partai gerakan indonesia raya;Sumatera Barat I
ANTONIUS IWAN DWI LAKSONO SE;partai kebangkitan bangsa;BALI
ANTONIUS SITUMORANG;partai gerakan indonesia raya;Kalimantan Barat II
Drs ANTONY BAGUL DAGUR M.Si;partai amanat nasional;Nusa Tenggara Timur I
ANUGRAH AMALIA CAHYANI;partai golongan karya;Jawa Tengah V
ANWAR ARIF WIBOWO S.Sos.I;partai kebangkitan bangsa;Jawa Tengah III
H ANWAR NASHORI S.Ag., M.Si;partai bulan bintang;Jawa Barat XI
ANY MARIANY TENGKER;partai gerakan indonesia raya;Jawa Barat VII
APFIANI SETIYANTI S.H;persatuan indonesia;Riau I
APNI YULIA SARI;partai berkarya;Jawa Barat IX
APOLONIUS HARIYAWAN NUGROHO S.Kh;partai nasdem;Jawa Timur I
APRIANTY WIDYA TAHAPARY;partai berkarya;Maluku
APRIATI NINGSIH;partai kebangkitan bangsa;Kalimantan Barat I
APRILIA JOHANA MANUKOA M.Pd;partai golongan karya;Nusa Tenggara Timur II
APRILIA RATNANINGSIH;partai demokrasi indonesia perjuangan;Sumatera Utara I
APRILLIA RAHMAWATI;partai solidaritas indonesia;Jawa Barat II
APRIZAL;partai solidaritas indonesia;Lampung II
ARDHERISA MARLIZA;partai solidaritas indonesia;Jawa Tengah VIII
ARDIANSYAH AMRI;partai berkarya;Lampung I
ARDIMA RAMA PUTRA S.AP;partai golongan karya;Dki Jakarta I
ARDITIA S.Sos;partai bulan bintang;Banten III
ARDY SUSANTO SH;partai kebangkitan bangsa;Banten III
ARI PRIMA S.Psi.I;partai solidaritas indonesia;Sumatera Barat I
dr ARI YUSNITA;partai nasdem;Kalimantan Utara
Ir ARIA SULHAN WITOELAR;partai gerakan indonesia raya;Jawa Barat VII
ARIANTO AMIRUDDIN;partai kebangkitan bangsa;Sulawesi Selatan II
ARIBUN SAYUNIS MM;persatuan indonesia;Lampung I
ARIE PRAMANA SH;partai solidaritas indonesia;Jawa Tengah I
ARIE PRASETYA;partai amanat nasional;Jawa Barat VIII
ARIEF RAHMAN HAKIM ST;partai persatuan pembangunan;Kalimantan Selatan II
Ir ARIEF SOEMARTO SH, MH;partai berkarya;Jawa Timur X
ARIEF WIBOWO;partai nasdem;Jawa Barat VI
ARIF BUDIMAN;partai berkarya;Lampung I
ARIF MUSTAFA ALBUNY;partai amanat nasional;Jawa Tengah I
ARIF PRASETYO AJI ST;partai keadilan sejahtera;Jawa Timur X
Drs ARIF RACHMAN HAKIM;partai persatuan pembangunan;Jawa Tengah VI
ARIF TRIYUDI PRASETYO SE;persatuan indonesia;Lampung II
ARIFHIJRAH SAPUTRA S.H.;partai golongan karya;Jawa Tengah IX
ARIFIN;partai persatuan pembangunan;Sulawesi Selatan II
ARIFIN SALEH SP, MM-CSR;partai solidaritas indonesia;Sumatera Utara I
ARINTA SAMIKTIAWATI S.Sos;partai gerakan indonesia raya;Nusa Tenggara Barat II
ARIO INDRASWORO CAHYONO AJI S.E., M.E.;partai demokrasi indonesia perjuangan;Jawa Timur VIII
ARIO SIGHAT TRIYUDHO ADHIE;partai gerakan indonesia raya;Jawa Timur IX
ARIROH REZEKI MATANARI S.Sos., M.I.Kom;partai amanat nasional;Jawa Barat XI
ARIS MARYANI;partai bulan bintang;Papua Barat
ARIS MUHAMMAD SH;partai bulan bintang;Nusa Tenggara Barat I
ARIS PANGERANG;persatuan indonesia;Sulawesi Selatan III
Ir ARIS WIYONO SARDJONO MM;partai amanat nasional;Jawa Timur VII
ARISTOKRA L.J TOMASOA;persatuan indonesia;Jawa Barat X
Dr ARIUS KARMAN MARS;partai berkarya;Banten III
ARIYO BIMMO SP SH;partai solidaritas indonesia;Jawa Barat I
ARIZA AGUSTINA SE, MSi;partai persatuan pembangunan;Jawa Barat II
ARJULI, AR;partai bulan bintang;Nusa Tenggara Timur I
ARMAN AMIR S.E;partai golongan karya;Jawa Timur XI
Dr drg ARMELIA SARI M.Kes;partai solidaritas indonesia;Dki Jakarta I
ARMIN IRAWAN;partai bulan bintang;Jawa Timur IX
Drs ARMYN GULTOM M.Si;persatuan indonesia;Sumatera Utara II
Ir ARNANTO NURPRABOWO M.P;partai golongan karya;Jawa Barat IX
ARNETA;persatuan indonesia;Jambi
ARNI DASRIANTI A.Md.;partai bulan bintang;Jawa Barat II
ARNI FITRIA S.SOS;persatuan indonesia;Sumatera Barat II
ARNIA ZULMI S.E;persatuan indonesia;Nusa Tenggara Barat II
ARNOD SIHITE S.E;partai golongan karya;Banten III
AROFI PUJI ASTUTI;partai amanat nasional;Jawa Tengah I
ARSAD IDRUS S.Sos;partai golongan karya;Sulawesi Barat
Drs ARSAL ISMAIL MM,.M.Si;persatuan indonesia;Sumatera Selatan II
ARVIN HAKIM THOHA;partai kebangkitan bangsa;Jawa Tengah III
ARWIN LUBIS;partai bulan bintang;BALI
ARYA ANUGRAH PRATAMA B.A., MPP;partai golongan karya;Jawa Tengah VII
ARYA HADIID SATMATA;partai solidaritas indonesia;Jawa Timur X
Ir ARYA MAHENDRA SINULINGGA;persatuan indonesia;Sumatera Utara III
ARYA PERMANA GRAHA;partai persatuan pembangunan;Jawa Barat X
ARYA RIZQI DARSONO;partai golongan karya;Jawa Timur VII
ARYA SANDHIYUDDHA;partai keadilan sejahtera;BALI
Ir ARYANI;persatuan indonesia;Jawa Timur V
ARYANI RIZKI POERWASARI WARUT;partai solidaritas indonesia;Nusa Tenggara Timur I
ARYATI KUSUMA WARDHANI S.IK;persatuan indonesia;Jawa Barat VI
ARYOSENO GEMBONG PRAKOSO;partai kebangkitan bangsa;Jawa Tengah V
ASDY NARANG SH, M.Comm.Law;partai demokrasi indonesia perjuangan;Kalimantan Tengah
ASEP AGUSTIAN, SH, MH;partai berkarya;Jawa Barat VII
ASEP HADAD DIDJAYA;partai gerakan indonesia raya;Jawa Barat I
ASEP HERU ROCHIMAT S.Kom;partai berkarya;Jawa Barat XI
dr ASEP HIDAYAT LUKMAN MM;partai amanat nasional;Jawa Barat VII
ASEP IRAWAN;partai keadilan sejahtera;Jawa Barat VII
ASEP IRFAN;partai kebangkitan bangsa;Jawa Barat X
Drs ASEP ISHAK;partai berkarya;Jawa Barat VII
ASEP ROCHMAN DIMYATI SH;partai amanat nasional;Jawa Barat IX
Dr ASEP SUPRIADI SH.,MH;persatuan indonesia;Jawa Barat IX
ASEP SUTISNA;partai gerakan indonesia raya;Jawa Barat II
Drs ASEP SUTISNA MM.;partai amanat nasional;Jawa Tengah II
Dr ASFIFUDDIN SH, MH;partai gerakan indonesia raya;Aceh I
ASGAR L MALONDA;partai solidaritas indonesia;Sulawesi Tengah
ASMADI LUBIS S.H,M.Kn;partai kebangkitan bangsa;Sumatera Utara II
ASMAREDY SH., MM;persatuan indonesia;Riau II
Dra ASMAULHUSNA ADAM M.Pd.;partai berkarya;Jawa Barat VII
ASMULYATI AZHAR S.Sos., M.Si.;partai kebangkitan bangsa;Kep. Bangka Belitung
ASNELLY;partai gerakan indonesia raya;Sumatera Barat I
ASRI NISWATI;partai gerakan indonesia raya;Jawa Tengah IV
ASRIANTI JAMAL;partai solidaritas indonesia;Sulawesi Selatan II
Drs. H. ASRIL DAS;partai nasdem;Jawa Barat I
ASRILIS MONIQUE ATIKA S.H.;partai solidaritas indonesia;Jawa Tengah VI
ASRORI WIDARTO S.K.M., M.Kess;partai golongan karya;Jawa Tengah VI
ASRORU MAULA S.Ag;partai demokrasi indonesia perjuangan;Lampung II
ASTITIN S.Kep;partai gerakan indonesia raya;Sulawesi Tenggara
ASTRI SRI HARIANI;partai kebangkitan bangsa;Papua
ASTRI YULIYANTI MONITA HUWAE SH;persatuan indonesia;Maluku
ASTRID KRISANDA;partai golongan karya;Jawa Barat V
ASTUTI S.Psi;partai persatuan pembangunan;Sulawesi Tenggara
ASWARINOOR;partai nasdem;Jawa Timur VIII
ASY'ARI, H. SH. MSI;partai nasdem;Jawa Timur II
ATHORI LUBIS;partai bulan bintang;Lampung II
DR. IR. ATIFAH THAHA MSC.;partai bulan bintang;Sumatera Barat II
ATIK HERU MARYANTI .,SE.,ST.,MBA;partai persatuan pembangunan;Jawa Tengah V
ATIKAH SHALIHAT S.E.I;partai keadilan sejahtera;Jawa Barat V
ATIN SUPRIATIN;partai nasdem;Jawa Barat IX
ATING MUHAMMAD;partai keadilan sejahtera;Sumatera Selatan II
ATING SUDIRMAN;persatuan indonesia;Jawa Barat IX
Hj ATTIE D. ANDJAR RACHMAN S.H., M.Si;partai golongan karya;Jawa Barat V
AULIA SIP;partai bulan bintang;Jambi
Ns AULIYA RISHA S.Kep;persatuan indonesia;Jawa Barat VII
AVERINA OKTAVIA MENGKO;partai berkarya;Jawa Barat X
AWALUDDIN MUCHTAR SE MSi;partai amanat nasional;Jawa Timur VII
AWANG NOTOPRAWIRO;partai amanat nasional;Nusa Tenggara Timur II
AWDENA S S.H;persatuan indonesia;Lampung I
AYA SOPHIA SE;persatuan indonesia;Jawa Barat II
AYATULLAH S.Fil.I, M.Ud;persatuan indonesia;Jawa Barat VIII
AYU HUMAIRAH BATARAY SH., M.Si;partai gerakan indonesia raya;Papua Barat
AYU M. KUSUMASTUTI SE;partai amanat nasional;Jawa Timur X
AYUB LAKSONO S.T;partai bulan bintang;Jawa Barat II
Drs AYUB TITU EKI MS., Ph.D;partai golongan karya;Nusa Tenggara Timur II
AYUNINGTYAS WIDARI RAMDHANIAR S.I.A.;partai golongan karya;Jawa Barat X
AYUT JAMAK INDRAWATI;partai golongan karya;Jawa Timur IV
AZANIL KELANA;partai bulan bintang;Jawa Timur VIII
AZHAR AUNG SH., S.Pi., M.Si;partai bulan bintang;Jawa Barat VII
AZHAR ZAINURI SE.,M.M;partai bulan bintang;Sumatera Selatan I
AZHARI S.H;partai nasdem;Sumatera Selatan II
Drs AZHARI ALI;partai gerakan indonesia raya;Lampung II
AZHARI AS MH;partai persatuan pembangunan;Sumatera Selatan II
AZHARI CAGE S.IP;partai bulan bintang;Aceh II
AZHIMA QADRIYAH S. ANDI;partai solidaritas indonesia;Sulawesi Selatan III
AZIMAH S.Sos., M.Si., M.B.A;partai golongan karya;Dki Jakarta III
AZIS SAMUAL S.Sos., M.Si;partai golongan karya;Papua
AZIS SUBEKTI ST., MT;partai gerakan indonesia raya;Jawa Tengah III
AZIZA DJINDAN;partai persatuan pembangunan;Sulawesi Utara
AZIZATUL MILLAH;partai amanat nasional;Nusa Tenggara Timur I
AZMAH SHOOBIROH;partai demokrasi indonesia perjuangan;Jawa Barat V
Ir AZMI;partai solidaritas indonesia;Banten III
AZMI HAKAM GUNTORO ST;partai kebangkitan bangsa;Dki Jakarta II
AZWAN SAPRANI;partai berkarya;Lampung I
DRS AZWANDI RAHMAN M.M.;partai kebangkitan bangsa;Sumatera Barat I
AZWAR BOERHAN M. ENG. SC;partai berkarya;Bengkulu
Ir AZWARDY AZHAR S.E., M.Si.;partai berkarya;Dki Jakarta I
dr AZZAHRAZADE MKM;partai amanat nasional;Sumatera Selatan II
B. BASKORO E.P S. Ap;partai solidaritas indonesia;Jawa Timur I
BACHTIAR;partai persatuan pembangunan;Papua
BACHTUL ST;partai persatuan pembangunan;Sumatera Barat I
Drs BADRI HAMIDI;partai persatuan pembangunan;Jawa Timur IV
BADRUL MUNIR, SE;partai berkarya;Jawa Barat VII
Ir BAGAS ANGKASA;partai persatuan pembangunan;Jawa Timur IV
BAGUS RIZKI DINARWAN S.Si, M.T;partai golongan karya;Jawa Timur VIII
BAGUS SARENGAT;partai bulan bintang;Jawa Tengah IV
KH BAHANA JAALHAQ TAQWALLAH;partai berkarya;Banten III
BAHRUDIN S.H;partai golongan karya;Banten III
BAHTRA;partai gerakan indonesia raya;Sulawesi Tenggara
BAIQ DEWI HARIYATI;partai bulan bintang;Nusa Tenggara Barat II
BAIQ DIAN FEBRIYANTI S.Sy;partai kebangkitan bangsa;Nusa Tenggara Barat II
BAIQ YUYUN TRISNAWATI S.PdI;partai gerakan indonesia raya;Nusa Tenggara Barat II
BAKHTIAR MUHAMAD NURHADI;partai persatuan pembangunan;Jawa Timur VIII
BALTASAR TARIGAN S.E.;partai demokrasi indonesia perjuangan;Sumatera Utara I
Drs BAMBANG ABIMANYU;partai berkarya;Jawa Barat VII
BAMBANG ATMANTO WIYOGO S.E.;partai golongan karya;Dki Jakarta I
Ir BAMBANG BUDI SUSANTO;partai amanat nasional;Jawa Timur IX
BAMBANG HARIBOWO;partai bulan bintang;Jawa Timur VI
BAMBANG HARYANTO S.Sos.;partai berkarya;Jambi
BAMBANG HERMANTO S.E;partai golongan karya;Jawa Barat VIII
BAMBANG HERMANTO SE;partai persatuan pembangunan;Jawa Tengah VII
BAMBANG HIRLANANDA;partai gerakan indonesia raya;Jawa Timur X
BAMBANG IRAWAN;persatuan indonesia;Kalimantan Tengah
Ir BAMBANG IRIANTO;partai golongan karya;Jawa Timur III
BAMBANG PERMADI S.Kom;partai solidaritas indonesia;Jawa Tengah I
BAMBANG PRAKUSO BA;partai solidaritas indonesia;Jawa Barat X
Drs BAMBANG PRASWANTO M.Sc;partai demokrasi indonesia perjuangan;D. I. Yogyakarta
BAMBANG RIYANTO SH.,MH.,M.Si;partai gerakan indonesia raya;Jawa Tengah V
Ir BAMBANG S.W. DJATMIKO;partai solidaritas indonesia;Jawa Tengah III
BAMBANG SES WAHYUDI SE.;partai amanat nasional;Jawa Tengah VII
BAMBANG SUDIYONO;partai gerakan indonesia raya;Jawa Barat X
BAMBANG SUGITO S.Sos., M.AP;partai persatuan pembangunan;Kalimantan Timur
BAMBANG SUJATMIKO SH;partai berkarya;Nusa Tenggara Barat II
BAMBANG SUROSO S.H., M.H.;partai nasdem;Jawa Tengah VI
BAMBANG SUTANTO;partai keadilan sejahtera;Jawa Tengah VIII
Dr BAMBANG SUTRISNO SH, MH;partai amanat nasional;Jawa Timur VIII
Ir BAMBANG SUTRISNO;partai golongan karya;Jawa Tengah VI
DR BAMBANG USADI MM;partai nasdem;Jawa Barat II
BAMBANG WAHYU GANINDRA;partai persatuan pembangunan;Banten III
BAMBANG WIRAHYOSO;partai kebangkitan bangsa;Jawa Tengah I
BANTENG PRINGGODANI;partai demokrasi indonesia perjuangan;Jawa Tengah I
BARA KRISHNA HASIBUAN;partai amanat nasional;Sulawesi Utara
BARMANSYAH;partai keadilan sejahtera;Aceh II
BARNABAS JJS PELLA S.H M.Hum;partai solidaritas indonesia;Nusa Tenggara Timur II
Ir BARNABAS YUSUF HURA MM.;partai amanat nasional;Sumatera Utara II
BARTO TANGDIBALI;partai nasdem;Jawa Barat VII
BASIRUDDIN AMIRUDDIN;partai amanat nasional;Dki Jakarta III
BASRI SH;partai bulan bintang;Sulawesi Selatan I
Drs BASRI CAKO;partai berkarya;Jawa Barat VI
Ir BASRI KINAS MAPPASENG;partai gerakan indonesia raya;Dki Jakarta II
Drs BASUKI M.Pd., M.Pdi;partai gerakan indonesia raya;Jawa Timur IX
BASUKI ABDUL AZIZ S.Si;partai keadilan sejahtera;Jawa Timur X
BASUKI HADISUKARTA SH;persatuan indonesia;Banten I
BASUKI RAKHMAD;partai golongan karya;Jawa Timur IV
Dra BAUMASITA MH;partai amanat nasional;Sulawesi Selatan II
BAYU ENDRO WINARKO;partai solidaritas indonesia;Nusa Tenggara Timur II
BAYU SAKTIAWAN S.Si.;partai berkarya;Jawa Tengah III
BAYU WICAKSONO ADHI;partai solidaritas indonesia;Jawa Tengah VIII
BAYU WIJANARKO S.E;partai keadilan sejahtera;Jawa Tengah X
BAYU WIKANARTININGSIH S.E;partai golongan karya;Jawa Timur VII
BAYU WIRAWAN PRAYOGO S.Pd.I;partai golongan karya;Jawa Tengah IV
BEJO RUDIANTORO;partai golongan karya;Jawa Tengah VII
BEKTI PRASTYANI SPd;partai amanat nasional;Jawa Timur IX
BELLA ASTRI NURLITA;partai solidaritas indonesia;Jawa Tengah VIII
BELLA LUBNAL BALADANI;partai kebangkitan bangsa;Jawa Tengah IX
BELLA MONALISTA;partai solidaritas indonesia;Jawa Timur VII
MARSDA TNI (PURN) Dr BENEDICTUS WIDJANARKO M.Si (Han);partai demokrasi indonesia perjuangan;D. I. Yogyakarta
BENI PRAMULA;persatuan indonesia;Banten I
BENNI ADVIS DAELI S.E;partai golongan karya;Sumatera Utara II
BENNI INAYATULLAH;partai solidaritas indonesia;Sumatera Barat II
BENNY MARTHA BENYAMIN S.E;partai golongan karya;Sumatera Selatan II
BENNY HERY RITANTO;partai solidaritas indonesia;Jawa Timur V
BENNY SUSANTO;partai solidaritas indonesia;Banten III
Drs. BENYAMIN KALALO;partai nasdem;Banten III
BENYAMIN SUDARMADI;partai nasdem;D. I. Yogyakarta
BERLIAN BENYAMINA RUNGKAT;partai golongan karya;Jawa Tengah IV
BERNANDUS SH;partai solidaritas indonesia;Sumatera Selatan II
BERRY NAHDIAN FORQAN S.P, M.S;partai demokrasi indonesia perjuangan;Kalimantan Selatan I
Drs BERTHY BARNABAS RAHAWARIN S.H;persatuan indonesia;Jawa Barat II
BERTRAND ANTOLIN;partai nasdem;Jawa Tengah V
BERTUS KOGOYA SH;partai berkarya;Papua
BETTY KUMANG SARI;partai gerakan indonesia raya;Kalimantan Barat II
BETY PUSPITASARI AK;persatuan indonesia;Jawa Barat X
DR BF.SUTADI SH.,M.Si;partai gerakan indonesia raya;Jawa Timur I
BHAYU INDRA SETIAWAN;partai gerakan indonesia raya;Jawa Tengah III
BHIROWO SENO ADJI S.T;partai golongan karya;Jawa Timur I
BIAS LAYAR SH;partai amanat nasional;Kalimantan Tengah
BIGMAN KARNADJAJA S.Psi;partai solidaritas indonesia;Jawa Timur II
BIMA CITRA YUDHA;partai kebangkitan bangsa;Jawa Tengah VI
BIMANTORO WIYONO SH;partai gerakan indonesia raya;Jawa Timur VIII
BIMO WIDAGDO SE;partai amanat nasional;Jawa Tengah IV
BINCAR LUSIANA;persatuan indonesia;Jambi
BINSAR MANALU S.E, M.M;persatuan indonesia;Jambi
BOB HASAN SH.,MH;partai gerakan indonesia raya;Lampung II
BOBBY APRILIANO SYAM LUBIS SE;partai berkarya;Sumatera Utara I
BOBY ALIMUDDIN, SE;partai nasdem;Sulawesi Tenggara
BONA RICKI JEFERSON SIAHAAN S.Pd;partai gerakan indonesia raya;Riau II
BOPHIA D. CH. MAROMON;partai gerakan indonesia raya;Nusa Tenggara Timur I
BOWIE SIGIT NUGROHO;partai berkarya;Maluku Utara
BOY BAKAMARO GINTING MUNTHE;persatuan indonesia;Sumatera Utara I
BOYKE FEBRIAN MOHAMMAD S.E.;partai golongan karya;Jawa Barat I
BRIGITA MANOHARA;partai demokrasi indonesia perjuangan;Lampung I
Dr BRIGJEN POL. PURN. H. HERU FEBRUANTO M.AP;persatuan indonesia;Banten II
BRIGJEN TNI (PURN) JUNIAS LUMBAN TOBING M.Sc;persatuan indonesia;Sumatera Utara II
BRIGJEN TNI (PURN) MUSLIMIN AKIB S.E, M.M;partai keadilan sejahtera;Sulawesi Selatan III
BRIGJEN TNI (PURN) TARIDA H. SINAMBELA S.IP;partai demokrasi indonesia perjuangan;Sumatera Utara III
Dr BRIGJEN TNI (PURN). AHWAN ISMADI S.Pd., S.H., M.H.;persatuan indonesia;Sumatera Utara III
Ir BUDI CAHYONO;partai bulan bintang;Jawa Tengah I
BUDI IRAWAN;partai amanat nasional;Sumatera Utara III
BUDI SANTOSO;partai gerakan indonesia raya;Jawa Timur VI
BUDI WALJIMAN SH;partai gerakan indonesia raya;D. I. Yogyakarta
BUDI YOUYASTRI;partai amanat nasional;Jawa Barat X
BUDIANTO TARIGAN S.Sos., S.H;partai golongan karya;Jawa Tengah II
Ir BUDIJONO DJODYMARTONO SE., M.Ec.;partai amanat nasional;Jawa Timur III
BUDIMAN AL IMAN M.Si;partai keadilan sejahtera;Jawa Barat IX
BUDIYANTO DARMASTONO;persatuan indonesia;Jawa Tengah IV
Drs BUDIYONO;partai demokrasi indonesia perjuangan;Jawa Barat III
BUHARI SH.,MH;partai kebangkitan bangsa;Dki Jakarta III
BUNAYA RACHMAD;partai bulan bintang;Kalimantan Barat I
BUNGA SYELMA RIZALDY;partai solidaritas indonesia;Banten II
BUNTARAN S.Pi, MM.;partai gerakan indonesia raya;Nusa Tenggara Barat II
BURDA ULFY;partai amanat nasional;Sulawesi Selatan III
BUSTANUS SALATIN ST;partai solidaritas indonesia;Jawa Timur VIII
BUYAR WINARSO;partai amanat nasional;Dki Jakarta I
C. SUHADI S.H., M.H.;partai nasdem;Jawa Barat V
CAHYA BERLIAN SE, MM;partai gerakan indonesia raya;Maluku
Ir CAHYAWAN NOWO PUTRO MT;partai bulan bintang;Jawa Timur IV
CALVIN LAMBE Bsc;persatuan indonesia;Jawa Barat IV
CAMELLIA PANDUWINATA LUBIS S.E., M.I.Kom;partai golongan karya;Sumatera Utara I
