nama;partai;dapil
dr. Hj AMENDI NASUTION;partai demokrasi indonesia perjuangan;Dki Jakarta II
Ir. Hj AMIDA HANNA;partai gerakan indonesia raya;Jawa Timur VI
AMIN;partai bulan bintang;Jawa Tengah II
AMIN NGABALIN;partai golongan karya;Sulawesi Tenggara
AMINUDDIN S.Sos, MM;persatuan indonesia;Jawa Barat X
AMINULLAH S.H.I;partai golongan karya;Jawa Tengah I
AMINULLAH SIAGIAN;persatuan indonesia;Sumatera Utara I
AMIR MA'RUF;partai kebangkitan bangsa;Jawa Tengah IV
H AMIR MAHMUD SE., MM;partai gerakan indonesia raya;Kalimantan Tengah
DR AMIR MAHMUD SE, M.Si;partai gerakan indonesia raya;Sulawesi Selatan I
AMIR MAHMUD MADUBUN SH.,MH;partai kebangkitan bangsa;Papua
AMIRAH KACA S.T., M.P.A.;partai golongan karya;Kalimantan Utara
AMIRUDDIN SIREGAR;persatuan indonesia;Jawa Timur VII
Dr AMIZIDUHU MENDROFA S.H.,M.Hum;persatuan indonesia;Sumatera Barat I
AMOS YIKWA Sp.M.Si;partai amanat nasional;Papua
AMOYE PEKEI;partai solidaritas indonesia;Papua
AMRAN SE;partai amanat nasional;Sulawesi Selatan III
AMRI M ALI;partai persatuan pembangunan;Aceh I
AMRIA SUKMA RINGKEH;partai keadilan sejahtera;Lampung II
AMRIYATI AMIN M.H;partai golongan karya;Jawa Barat III
AMRULLAH AMSAR SE;persatuan indonesia;Sulawesi Selatan II
AMY AMANDA CHITRA PAHLAWANI S.Farm., Apt;partai amanat nasional;Lampung II
ANAH NURJANAH;partai amanat nasional;Jawa Timur III
Dr ANANG ISKANDAR SH., MH;partai persatuan pembangunan;Jawa Timur VI
ANANTA TRIA NURWITA Y S.E;partai golongan karya;Sumatera Barat I
ANAS NASIKHIN M.Si.;partai kebangkitan bangsa;Jawa Timur II
ANASTASYE FAUZIA;partai solidaritas indonesia;Sulawesi Tengah
ANDARINI RIEKE LESTINA H;persatuan indonesia;Jawa Barat III
Ir ANDARUNA SETIAWAN M.M;persatuan indonesia;Jawa Timur I
ANDES PARIA INDAH NS SE;partai solidaritas indonesia;Sumatera Selatan I
ANDHIKA HASAN;partai demokrasi indonesia perjuangan;Kalimantan Timur
ANDI TENRI KARTA;partai gerakan indonesia raya;Sulawesi Selatan III
ANDI AHMAD PANDITA S.T;partai kebangkitan bangsa;Sulawesi Selatan II
Ir ANDI AKMAL AMNUR;partai gerakan indonesia raya;Sumatera Utara III
ANDI ALFIAH MUTMAINNAH;partai persatuan pembangunan;Sulawesi Selatan II
ANDI AMAR SE;partai kebangkitan bangsa;Dki Jakarta II
ANDI ARSYIL RAHMAN PUTRA;persatuan indonesia;Sulawesi Selatan II
ANDI ASEANTO SE, MM;persatuan indonesia;Dki Jakarta I
Dra ANDI ASTUTY ATTAS;partai golongan karya;Sulawesi Selatan III
Dra ANDI AZINAR YOTOLEMBAH MM;persatuan indonesia;Sulawesi Tengah
ANDI BACHTIAR SIRANG;partai golongan karya;Dki Jakarta III
Ir ANDI BOHAR ALAM;partai berkarya;Lampung II
ANDI CAKRA WAHYUDI SE., MBA;persatuan indonesia;Banten II
ANDI CAWA MIRI S.H;partai kebangkitan bangsa;Sulawesi Selatan II
ANDI CITTA MARIOGI;partai demokrasi indonesia perjuangan;Sulawesi Selatan II
ANDI DARMAJI SH.;partai gerakan indonesia raya;Kalimantan Tengah
ANDI DIANA ROSE DARWIS;partai amanat nasional;Sulawesi Selatan II
ANDI EFFENDI SE;partai berkarya;Lampung II
ANDI FAUSIAH GANI;partai persatuan pembangunan;Sulawesi Tengah
ANDI HS;partai golongan karya;Aceh I
ANDI MARAIDA SP;partai golongan karya;Sumatera Selatan I
ANDI MASMIYAT;partai persatuan pembangunan;Kalimantan Utara
ANDI NAJMI FUAIDI SH;partai kebangkitan bangsa;Jawa Tengah IX
DR ANDI NURLINDA SKM., M.Kes;partai gerakan indonesia raya;Sulawesi Selatan II
Dra ANDI NURUL DJANNAH Lc;partai bulan bintang;Dki Jakarta I
Ir ANDI ODDANG WAWO M.Si;partai gerakan perubahan indonesia;Sulawesi Selatan III
ANDI PATIWIRI DJABIR SE;partai solidaritas indonesia;Sulawesi Selatan I
ANDI RUDIYANTO ASAPA SH;partai gerakan indonesia raya;Sulawesi Selatan II
ANDI RUSNADI;partai persatuan pembangunan;Dki Jakarta III
ANDI SAIFUL HAQ;partai solidaritas indonesia;Sulawesi Selatan I
ANDI SETIAWAN S.Sos.I.;partai persatuan pembangunan;Jawa Timur X
ANDI SURIANI S.Ag., M.A;partai berkarya;Kalimantan Timur
ANDI SUTOMO;partai kebangkitan bangsa;Jawa Tengah III
ANDI TASWIN SH, MM;partai berkarya;Sumatera Barat I
ANDI TENRI GUSTI HARNUM UTARI NATASSA SE.,B.A;persatuan indonesia;Sulawesi Selatan III
ANDI WALENRENG SH;persatuan indonesia;Sulawesi Selatan II
ANDIK TRISDIANTO;partai amanat nasional;Jawa Timur VIII
